age,in_incidence_rates,in_prevalence_rates,in_remission_rates,in_mortality_rates,out_incidence_rates,out_prevalence_rates,out_remission_rates,out_case_fatality_rates,out_duration_years,out_mortality_rates,out_rr_mortality_number,out_age_of_onset_years,disease,sex,in_case_fatality_rates,qimd
55,0.0035940644,0.0680950842,0,0.0016762305,0.0061378047,0.0680950842,0,0.0246119733,16.9380524663,0.0016762305,3.861195022,55.5,chd,men,,1 most deprived
56,0.003691942,0.0743788793,0,0.0018445737,0.0064536334,0.0743788793,0,0.0247957828,16.4716616604,0.0018445737,3.6366222515,56.5,chd,men,,1 most deprived
57,0.0037901716,0.0809371545,0,0.0020216035,0.006789186,0.0809371545,0,0.0249736494,16.0039806612,0.0020216035,3.4329288895,57.5,chd,men,,1 most deprived
58,0.0038831998,0.0877688077,0,0.0022072364,0.0071220724,0.0877688077,0,0.0251446215,15.5348488589,0.0022072364,3.2485983207,58.5,chd,men,,1 most deprived
59,0.0039662995,0.0948755206,0,0.0024027401,0.0074844828,0.0948755206,0,0.0253215949,15.0641895393,0.0024027401,3.0811528473,59.5,chd,men,,1 most deprived
60,0.004041135,0.1022622614,0,0.002610733,0.007855754,0.1022622614,0,0.0255262684,14.5922728778,0.002610733,2.9286152651,60.5,chd,men,,1 most deprived
61,0.0041093704,0.1099368967,0,0.0028338923,0.0082710677,0.1099368967,0,0.0257739754,14.1197665894,0.0028338923,2.7887789382,61.5,chd,men,,1 most deprived
62,0.0041726699,0.1179045967,0,0.0030748953,0.0086949016,0.1179045967,0,0.0260760832,13.6476789621,0.0030748953,2.6595055176,62.5,chd,men,,1 most deprived
63,0.0042326978,0.1261701207,0,0.0033364149,0.0091707469,0.1261701207,0,0.026440337,13.1773171709,0.0033364149,2.5392323154,63.5,chd,men,,1 most deprived
64,0.0042911183,0.1347405034,0,0.0036210227,0.0096659433,0.1347405034,0,0.0268705862,12.7101064578,0.0036210227,2.4280505679,64.5,chd,men,,1 most deprived
65,0.0043495957,0.1436252633,0,0.0039311891,0.0102277058,0.1436252633,0,0.0273676329,12.2473944817,0.0039311891,2.3260907537,65.5,chd,men,,1 most deprived
66,0.0044097941,0.1528341605,0,0.0042693802,0.0108145671,0.1528341605,0,0.0279311349,11.7903606665,0.0042693802,2.2332364662,66.5,chd,men,,1 most deprived
67,0.0044733778,0.162353302,0,0.0046380621,0.0114203749,0.162353302,0,0.028564045,11.3399990343,0.0046380621,2.1493792187,67.5,chd,men,,1 most deprived
68,0.0045420109,0.1721503666,0,0.0050395895,0.0120136177,0.1721503666,0,0.029270619,10.8971021702,0.0050395895,2.0743176463,68.5,chd,men,,1 most deprived
69,0.0046123,0.182187703,0,0.0054737541,0.01261719,0.182187703,0,0.0300407976,10.4621659041,0.0054737541,2.0072314861,69.5,chd,men,,1 most deprived
70,0.0046800278,0.1924227549,0,0.0059377853,0.0131919925,0.1924227549,0,0.0308541983,10.0352395427,0.0059377853,1.9470935363,70.5,chd,men,,1 most deprived
