agegroup,sex,mean.rr,ci.rr
30-34,1,0.5,0.54
35-39,1,0.5,0.54
40-44,1,0.5,0.54
45-49,1,0.5,0.54
50-54,1,0.5,0.52
55-59,1,0.5,0.52
60-64,1,0.55,0.57
65-69,1,0.55,0.57
70-74,1,0.62,0.64
75-79,1,0.62,0.64
80-84,1,0.69,0.73
30-34,2,0.4,0.49
35-39,2,0.4,0.49
40-44,2,0.4,0.49
45-49,2,0.4,0.49
50-54,2,0.49,0.54
55-59,2,0.49,0.54
60-64,2,0.5,0.61
65-69,2,0.5,0.61
70-74,2,0.55,0.58
75-79,2,0.55,0.58
80-84,2,0.64,0.68
