agegroup,active_days,mean.rr,ci.rr
30-34,0,1.53,1.79
35-39,0,1.53,1.79
40-44,0,1.53,1.79
45-49,0,1.53,1.79
50-54,0,1.53,1.79
55-59,0,1.53,1.79
60-64,0,1.53,1.79
65-69,0,1.53,1.79
70-74,0,1.38,1.6
75-79,0,1.38,1.6
80-84,0,1.24,1.45
