alcohol,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84
 72,"1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)","1.616 (1.38 to 1.861)"
 60,"1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)","1.468 (1.329 to 1.615)"
 48,"1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)","1.323 (1.156 to 1.501)"
 36,"1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)","1.237 (1.148 to 1.336)"
 24,"1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)","1.156 (1.067 to 1.248)"
 12,"1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)","1.078 (1.034 to 1.124)"
 0,"1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)","1.0 (1.0 to 1.0)"
 
