agegroup,mean.rr,ci.rr
20-24,3.74,4.58
25-29,3.74,4.58
30-34,3.74,4.58
35-39,3.74,4.58
40-44,3.74,4.58
45-49,3.74,4.58
50-54,3.74,4.58
55-59,3.74,4.58
60-64,2.06,2.58
65-69,2.06,2.58
70-74,1.8,2.27
75-79,1.8,2.27
80-84,1.8,2.27
