"agegroup","mean.rr","ci.rr"
"<1   ",1,1
"01-04",1,1
"05-09",1,1
"10-14",1,1
"15-19",1,1
"20-24",1.213256,1.278837
"25-29",1.213256,1.278837
"30-34",1.213256,1.278837
"35-39",1.213256,1.278837
"40-44",1.213256,1.278837
"45-49",1.213256,1.278837
"50-54",1.213256,1.278837
"55-59",1.213256,1.278837
"60-64",1.058372,1.115581
"65-69",1.058372,1.115581
"70-74",1,1
"75-79",1,1
"80-84",1,1
"85+",1,1
