agegroup,mean.rr,ci.rr
20-24,2.51,2.8
25-29,2.51,2.8
30-34,2.51,2.8
35-39,2.51,2.8
40-44,2.51,2.8
45-49,2.51,2.8
50-54,2.51,2.8
55-59,2.51,2.8
60-64,2.01,2.26
65-69,2.01,2.26
70-74,1.78,2.05
75-79,1.78,2.05
80-84,1.78,2.05
