sex,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84
men,1 (1 to 1),1 (1 to 1),1 (1 to 1),1 (1 to 1),1 (1 to 1),1 (1 to 1),1 (1 to 1),1 (1 to 1),1 (1 to 1),1 (1 to 1),1 (1 to 1),1 (1 to 1),1 (1 to 1),1 (1 to 1)
women,1 (1 to 1),"0.89 (0.869 to 0.914)","0.89 (0.869 to 0.914)","0.89 (0.869 to 0.914)","0.89 (0.869 to 0.914)","0.89 (0.869 to 0.914)","0.89 (0.869 to 0.914)","1.089 (1.037 to 1.14)","1.089 (1.037 to 1.14)","1.089 (1.037 to 1.14)","1.089 (1.037 to 1.14)","1.089 (1.037 to 1.14)","1.089 (1.037 to 1.14)","1.089 (1.037 to 1.14)"
