sex,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84
men,"1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)","1.177 (1.145 to 1.208)"
women,"1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)","1.059 (1.031 to 1.083)"
