agegroup,mean.rr,ci.rr
30-34,0.09,0.14
35-39,0.09,0.14
40-44,0.09,0.14
45-49,0.09,0.14
50-54,0.09,0.14
55-59,0.09,0.14
60-64,0.09,0.14
65-69,0.09,0.14
70-74,0.09,0.14
75-79,0.22,0.27
80-84,0.22,0.27
