agegroup,sex,mean.rr,ci.rr
30-34,1,0.33,0.38
35-39,1,0.33,0.38
40-44,1,0.33,0.38
45-49,1,0.33,0.38
50-54,1,0.34,0.37
55-59,1,0.34,0.37
60-64,1,0.41,0.44
65-69,1,0.41,0.44
70-74,1,0.48,0.51
75-79,1,0.48,0.51
80-84,1,0.68,0.75
30-34,2,0.41,0.49
35-39,2,0.41,0.49
40-44,2,0.41,0.49
45-49,2,0.41,0.49
50-54,2,0.45,0.5
55-59,2,0.45,0.5
60-64,2,0.47,0.51
65-69,2,0.47,0.51
70-74,2,0.53,0.56
75-79,2,0.53,0.56
80-84,2,0.65,0.71
