 age,eq5d_r,sex,productivity_cost
25,0.6,men,26828.42327
25,0.65,men,28279.0502
25,0.7,men,29701.09973
25,0.75,men,31087.73068
25,0.8,men,32432.93106
25,0.85,men,33731.54764
25,0.9,men,34979.285
25,0.95,men,36172.67853
25,1,men,37309.04666
26,0,men,11020.39359
26,0.05,men,12216.7904
26,0.1,men,13478.81366
26,0.15,men,14800.71691
26,0.2,men,16175.60899
26,0.25,men,17595.60152
26,0.3,men,19051.99758
26,0.35,men,20535.51159
26,0.4,men,22036.50823
26,0.45,men,23545.24719
26,0.5,men,25052.1206
26,0.55,men,26547.8715
26,0.6,men,28023.78348
26,0.65,men,29471.83501
26,0.7,men,30884.81453
26,0.75,men,32256.39547
26,0.8,men,33581.1731
26,0.85,men,34854.66677
26,0.9,men,36073.29276
26,0.95,men,37234.31349
26,1,men,38335.76924
27,0,men,11534.39334
27,0.05,men,12764.29533
27,0.1,men,14056.80021
27,0.15,men,15405.28188
27,0.2,men,16802.01809
27,0.25,men,18238.37545
27,0.3,men,19705.03226
27,0.35,men,21192.2267
27,0.4,men,22690.01599
27,0.45,men,24188.53201
27,0.5,men,25678.21991
27,0.55,men,27150.04834
27,0.6,men,28595.68293
27,0.65,men,30007.6181
27,0.7,men,31379.2656
27,0.75,men,32705.00094
27,0.8,men,33980.17171
27,0.85,men,35201.07293
27,0.9,men,36364.89598
27,0.95,men,37469.65768
27,1,men,38514.11587
28,0,men,12015.12518
28,0.05,men,13273.10707
28,0.1,men,14590.17748
28,0.15,men,15958.89068
28,0.2,men,17370.77737
28,0.25,men,18816.56514
28,0.3,men,20286.43171
28,0.35,men,21770.27583
28,0.4,men,23257.99011
28,0.45,men,24739.72029
28,0.5,men,26206.09787
28,0.55,men,27648.43579
28,0.6,men,29058.88046
28,0.65,men,30430.51751
28,0.7,men,31757.43164
28,0.75,men,33034.72428
28,0.8,men,34258.49443
28,0.85,men,35425.78947
28,0.9,men,36534.53334
28,0.95,men,37583.439
28,1,men,38571.91175
29,0,men,12653.80236
29,0.05,men,13954.6163
29,0.1,men,15311.5133
29,0.15,men,16716.17769
29,0.2,men,18159.34835
29,0.25,men,19631.07526
29,0.3,men,21121.00242
29,0.35,men,22618.65988
29,0.4,men,24113.7478
29,0.45,men,25596.39672
29,0.5,men,27057.39147
29,0.55,men,28488.34999
29,0.6,men,29881.85247
29,0.65,men,31231.5202
29,0.7,men,32532.04714
29,0.75,men,33779.18963
29,0.8,men,34969.72144
29,0.85,men,36101.36211
29,0.9,men,37172.68652
29,0.95,men,38183.02293
29,1,men,39132.34607
30,0,men,15431.17424
30,0.05,men,16989.03748
30,0.1,men,18608.24556
30,0.15,men,20278.19356
30,0.2,men,21987.28929
30,0.25,men,23723.28949
30,0.3,men,25473.65773
30,0.35,men,27225.92195
30,0.4,men,28968.01053
30,0.45,men,30688.54908
30,0.5,men,32377.10466
30,0.55,men,34024.36937
30,0.6,men,35622.28069
30,0.65,men,37164.08065
30,0.7,men,38644.31989
30,0.75,men,40058.81489
30,0.8,men,41404.5685
30,0.85,men,42679.66379
30,0.9,men,43883.14095
30,0.95,men,45014.86584
30,1,men,46075.39706
31,0,men,16039.37733
31,0.05,men,17630.32391
31,0.1,men,19278.23771
31,0.15,men,20971.72217
31,0.2,men,22698.52537
31,0.25,men,24445.90746
31,0.3,men,26201.01968
31,0.35,men,27951.27133
31,0.4,men,29684.66356
31,0.45,men,31390.07317
31,0.5,men,33057.4749
31,0.55,men,34678.09691
31,0.6,men,36244.50951
31,0.65,men,37750.65188
31,0.7,men,39191.80508
31,0.75,men,40564.52158
31,0.8,men,41866.52221
31,0.85,men,43096.5715
31,0.9,men,44254.34101
31,0.95,men,45340.26885
31,1,men,46355.42201
32,0,men,16822.6046
32,0.05,men,18463.24787
32,0.1,men,20157.11993
32,0.15,men,21891.97602
32,0.2,men,23654.84689
32,0.25,men,25432.43709
32,0.3,men,27211.52405
32,0.35,men,28979.3334
32,0.4,men,30723.86936
32,0.45,men,32434.18473
32,0.5,men,34100.5812
32,0.55,men,35714.73718
32,0.6,men,37269.76603
32,0.65,men,38760.21205
32,0.7,men,40181.99451
32,0.75,men,41532.31143
32,0.8,men,42809.51529
32,0.85,men,44012.97152
32,0.9,men,45142.90972
32,0.95,men,46200.27536
32,1,men,47186.58787
33,0,men,17287.70355
33,0.05,men,18947.05146
33,0.1,men,20655.05934
33,0.15,men,22398.931
33,0.2,men,24165.29218
33,0.25,men,25940.60785
33,0.3,men,27711.58945
33,0.35,men,29465.56725
33,0.4,men,31190.80791
33,0.45,men,32876.76336
33,0.5,men,34514.24436
33,0.55,men,36095.5186
33,0.6,men,37614.33883
33,0.65,men,39065.91043
33,0.7,men,40446.81033
33,0.75,men,41754.87017
33,0.8,men,42989.03592
33,0.85,men,44149.21524
33,0.9,men,45236.12183
33,0.95,men,46251.12404
33,1,men,47196.10294
34,0,men,17922.69148
34,0.05,men,19617.87078
