sex,age,prvl
men,20,0.00129399644822171
men,21,0.00133889550433897
men,22,0.00138400139516003
men,23,0.00142934906937675
men,24,0.00147496121477024
men,25,0.00152068630575982
men,26,0.00156518918176042
men,27,0.00161098006199921
men,28,0.00166618837603605
men,29,0.00172218244801794
men,30,0.00177541536333458
men,31,0.00184486900875022
men,32,0.00191901948654666
men,33,0.00199452999139799
men,34,0.00207356157200393
men,35,0.0021535040722232
men,36,0.00223747501547178
men,37,0.00232780043979625
men,38,0.00243710047795554
men,39,0.00254840825444135
men,40,0.00269169790350073
men,41,0.00290776136369625
men,42,0.00311735696510427
men,43,0.00336133530190861
men,44,0.00361381369756167
men,45,0.00387379358090416
men,46,0.00413419425838397
men,47,0.00439560921257092
men,48,0.00464030016868655
men,49,0.0049656787726567
men,50,0.0053177030298738
men,51,0.00581108200748398
men,52,0.00633419593059856
men,53,0.00686827646405843
men,54,0.00737913319185618
men,55,0.00788863751531407
men,56,0.00838900830933248
men,57,0.00890628406500787
men,58,0.00943077516965022
men,59,0.00995337931863138
men,60,0.0104359811148237
men,61,0.0109031749244231
men,62,0.0114222105094371
men,63,0.0119355369227064
men,64,0.0124487583586068
men,65,0.0129548136653105
men,66,0.0134593477081876
men,67,0.0139732938069026
men,68,0.0144381855926308
men,69,0.0146229798220875
men,70,0.0147692052181996
men,71,0.0148455665679439
men,72,0.0147365291255559
men,73,0.0146669910245498
men,74,0.0145973842332668
men,75,0.0145281670885388
men,76,0.0144589802373836
men,77,0.0143897632005543
men,78,0.0143206619765033
men,79,0.0142518476460759
men,80,0.0141833240561
men,81,0.0141150260858551
men,82,0.0140469035134828
men,83,0.01397891899317
men,84,0.0139110446587637
men,85,0.0138432594691925
men,86,0.013775547312712
men,87,0.0137078956778727
men,88,0.0136402947189607
men,89,0.0135727365918481
women,20,0.00209376108179774
women,21,0.00216963621567678
women,22,0.00224617636235516
women,23,0.00232342767269253
women,24,0.0024014187472414
women,25,0.00248012960055487
women,26,0.00256183309291763
women,27,0.00264319540705376
women,28,0.00272918479215359
women,29,0.00282457115001191
women,30,0.00293746218505141
women,31,0.00306574605417998
women,32,0.00322901566743481
women,33,0.00339684534509499
women,34,0.00357836183223026
women,35,0.00375803586729176
women,36,0.00394367282429572
women,37,0.00414081398632824
women,38,0.00434567437150964
women,39,0.00458696568953847
women,40,0.00484481430517126
women,41,0.00517013086403705
women,42,0.00548836064985651
women,43,0.00584384639405858
women,44,0.0062108731207171
women,45,0.00658550237355931
women,46,0.00696635078533469
women,47,0.00733341753535775
women,48,0.00776168339956013
women,49,0.00823377934199102
women,50,0.00882575848845051
women,51,0.00952317920407618
women,52,0.0102969337361825
women,53,0.0110771889527247
women,54,0.011857950383198
women,55,0.0126316172192153
women,56,0.0133979558137023
women,57,0.0141356012631998
women,58,0.0148707838583714
women,59,0.0155497460981486
women,60,0.0162220004450587
women,61,0.0167731526481705
women,62,0.0173559430919899
women,63,0.0179239334676358
women,64,0.0184955686363177
women,65,0.0190698632238138
women,66,0.0196189284899767
women,67,0.0199949854895976
women,68,0.0201657538070377
women,69,0.0203194445743301
women,70,0.0202530489159293
women,71,0.0199334817071484
women,72,0.0196390675921972
women,73,0.0193440545005006
women,74,0.0190441393706873
women,75,0.0187410757533074
women,76,0.0184363850572612
women,77,0.0181306920051923
women,78,0.0178243473711994
women,79,0.0175175650500603
women,80,0.0172104869310151
women,81,0.0169032016693715
women,82,0.0165957661585037
women,83,0.0162882186017352
women,84,0.0159805855838782
women,85,0.0156728861432451
women,86,0.0153651342406673
women,87,0.015057340320568
women,88,0.0147495123324249
women,89,0.0144416564185466
