"year","sex","age","qimd","pops"
2001,1,53,1,55483
2001,1,53,2,61786
2001,1,53,3,72100
2001,1,53,4,79199
2001,1,53,5,82038
2001,1,54,1,57306
2001,1,54,2,64758
2001,1,54,3,75916
2001,1,54,4,84857
2001,1,54,5,87797
2001,1,55,1,46521
2001,1,55,2,52682
2001,1,55,3,62371
2001,1,55,4,68769
2001,1,55,5,70906
2001,1,56,1,44861
2001,1,56,2,51502
2001,1,56,3,60869
2001,1,56,4,67806
2001,1,56,5,69380
2001,1,57,1,44164
2001,1,57,2,49919
2001,1,57,3,59889
2001,1,57,4,66348
2001,1,57,5,67242
2001,1,58,1,43712
2001,1,58,2,48556
2001,1,58,3,56763
2001,1,58,4,62638
2001,1,58,5,62599
2001,1,59,1,41337
2001,1,59,2,44272
2001,1,59,3,51069
2001,1,59,4,55087
2001,1,59,5,54042
2001,1,60,1,40017
2001,1,60,2,41959
2001,1,60,3,47619
2001,1,60,4,50897
2001,1,60,5,49437
2001,1,61,1,41886
2001,1,61,2,43688
2001,1,61,3,49755
2001,1,61,4,52781
2001,1,61,5,51185
2001,1,62,1,42111
2001,1,62,2,44115
2001,1,62,3,49255
2001,1,62,4,52919
2001,1,62,5,51099
2001,1,63,1,42143
2001,1,63,2,43340
2001,1,63,3,49051
2001,1,63,4,52126
2001,1,63,5,50524
2001,1,64,1,40901
2001,1,64,2,42423
2001,1,64,3,47970
2001,1,64,4,50356
2001,1,64,5,48752
2001,1,65,1,39783
2001,1,65,2,40727
2001,1,65,3,45743
2001,1,65,4,48782
2001,1,65,5,47014
2001,1,66,1,37865
2001,1,66,2,39261
2001,1,66,3,44647
2001,1,66,4,46971
2001,1,66,5,45499
2001,1,67,1,36212
2001,1,67,2,37481
2001,1,67,3,42258
2001,1,67,4,44265
2001,1,67,5,43336
2001,1,68,1,35463
2001,1,68,2,36792
2001,1,68,3,41771
2001,1,68,4,43428
2001,1,68,5,42478
2001,1,69,1,35337
2001,1,69,2,36671
2001,1,69,3,41618
2001,1,69,4,43362
2001,1,69,5,41596
2001,1,70,1,34662
2001,1,70,2,36347
2001,1,70,3,40693
2001,1,70,4,42498
2001,1,70,5,40758
2001,1,71,1,33489
2001,1,71,2,34843
2001,1,71,3,39001
2001,1,71,4,40281
2001,1,71,5,39007
2001,1,72,1,31500
2001,1,72,2,33236
2001,1,72,3,37267
2001,1,72,4,38393
2001,1,72,5,36804
2001,1,73,1,29990
2001,1,73,2,31884
2001,1,73,3,35403
2001,1,73,4,36312
2001,1,73,5,34345
2001,1,74,1,29283
2001,1,74,2,31163
2001,1,74,3,34051
2001,1,74,4,35203
2001,1,74,5,33105
2001,1,75,1,28070
2001,1,75,2,29720
2001,1,75,3,32610
2001,1,75,4,33341
2001,1,75,5,31364
2001,1,76,1,26361
2001,1,76,2,27757
2001,1,76,3,30498
2001,1,76,4,31249
2001,1,76,5,29310
2001,1,77,1,24661
2001,1,77,2,26584
2001,1,77,3,28607
2001,1,77,4,29189
2001,1,77,5,27186
