age,sex,qimd,year,C18_cases,C19_cases,C20_cases,C33_cases,C34_cases,C50_cases,pops
0,men,1 most deprived,2001,0.0622589599326238,0.00487084801838333,0.00755460688022421,0.0137785939430815,0.000441254393952614,0.00168084948809811,71055
0,men,1 most deprived,2002,0.0594647422542068,0.0042609779990111,0.00738218272419554,0.00854275957968803,0.000537200679758208,0.00156419070260349,73775
0,men,1 most deprived,2003,0.0567888240248516,0.00372758292960293,0.0072136184871092,0.00529463619160594,0.000654073941222938,0.00145570441314126,76465
0,men,1 most deprived,2004,0.0542310733505169,0.00326103372950959,0.00704885369265718,0.00328045774695453,0.000796457380759991,0.00135479830094644,78727
0,men,1 most deprived,2005,0.0517906998915074,0.00285292064496138,0.00688783010410322,0.00203197354137902,0.000969943123929229,0.00126092588372071,81811
0,men,1 most deprived,2006,0.0494663533411084,0.00249589775665597,0.0067304908059304,0.00125840653353335,0.0011813557099207,0.00117358227515197,84492
0,men,1 most deprived,2007,0.0472562119442936,0.00218354767137095,0.00657677959295124,0.000779266996468842,0.00143902546506473,0.00109230062435707,87554
0,men,1 most deprived,2008,0.0451580620269926,0.0019102636236323,0.00642664060955307,0.00048257620276117,0.00175312300897355,0.00101664910031762,90587
0,men,1 most deprived,2009,0.0431688467150525,0.00167115073568605,0.0062800116820295,0.000298892512916156,0.00213606051093832,0.000946231048703486,90436
0,men,1 most deprived,2010,0.0412833388594386,0.0014619444145619,0.00613680622837726,0.000185171565049993,0.00260295402800838,0.000880689558830106,91332
0,men,1 most deprived,2011,0.0394960470235848,0.00127891417832617,0.00599693514503939,0.000114757244093363,0.00317222616285989,0.000819694602383927,91119
0,men,1 most deprived,2012,0.0378017710254143,0.00111879304528468,0.0058603132460396,7.11488884521631e-05,0.00386633441811194,0.000762937882618369,94403
0,men,1 most deprived,2013,0.0361955869691989,0.000978720300556707,0.00572685866969641,4.41338783981467e-05,0.00471265050951329,0.000710131084221088,91980
0,men,1 most deprived,2014,0.034672832894355,0.00085619133394016,0.00559649215279435,2.73919479104935e-05,0.00574452959788647,0.000661004400054511,89913
0,men,1 most deprived,2015,0.033229094947443,0.000749013667634434,0.00546913616994575,1.70117007693598e-05,0.0070026098745824,0.000615305288589336,89860
1,men,1 most deprived,2001,0.0679266089127906,0.00547544927700522,0.00860573649487041,0.013769485166258,0.000559392601246829,0.00186486120087999,72776
1,men,1 most deprived,2002,0.0651009492695601,0.00480410656984628,0.00842893705010581,0.00864108496665788,0.000677440898030357,0.00174066637207636,70986
1,men,1 most deprived,2003,0.0623865195804821,0.00421502092910336,0.00825561905813345,0.00542070178759391,0.000820481183540639,0.00162482294966917,72974
1,men,1 most deprived,2004,0.0597853784589185,0.00369807406799213,0.00808575518544469,0.00339935362838473,0.000993828712478457,0.00151674465284185,75854
1,men,1 most deprived,2005,0.0572986863663996,0.0032444015894535,0.00791931915536006,0.00213116390451319,0.001203935856426,0.00141588985550795,78012
1,men,1 most deprived,2006,0.0549268242944785,0.00284623596665028,0.00775628476225817,0.00133583331057551,0.00145863715671411,0.00132175740579297,80623
1,men,1 most deprived,2007,0.0526695030518882,0.0024967696636265,0.00759662522554912,0.000837234044068225,0.00176744766163856,0.0012338831511723,83937
1,men,1 most deprived,2008,0.0505258636980531,0.00219003562843292,0.00744031282273601,0.000524751604621384,0.00214192627633196,0.00115183702948713,86426
1,men,1 most deprived,2009,0.0484937972679773,0.00192081070622074,0.00728731048132697,0.000328949503286188,0.00259610723469049,0.00107522439046735,89395
1,men,1 most deprived,2010,0.0465679507403701,0.00168454009267262,0.00713754866323479,0.000206259708096426,0.00314698680592256,0.00100369334318112,89112
1,men,1 most deprived,2011,0.0447424984823866,0.00147722321349532,0.0069909529358399,0.000129373727060601,0.0038151674401859,0.000936918087142004,89497
1,men,1 most deprived,2012,0.0430119576263007,0.00129533945568524,0.00684745222455883,8.11821127113242e-05,0.00462562996257844,0.000874592783078147,90991
1,men,1 most deprived,2013,0.041371167007855,0.00113579155267845,0.0067069781858696,5.09672666639559e-05,0.00560865826876466,0.000816429986177012,94102
1,men,1 most deprived,2014,0.0398152673306046,0.000995855569795297,0.00656946441457831,3.2016241872842e-05,0.00680095718974988,0.000762159353324344,91986
1,men,1 most deprived,2015,0.0383396823903562,0.00087313672346174,0.00643484548009274,2.01244916857795e-05,0.00824700318204372,0.000711526578460971,90294
2,men,1 most deprived,2001,0.0741084127876642,0.00615582692645689,0.00980337058988058,0.0137609490510211,0.000709190198467837,0.00206905504314507,73773
2,men,1 most deprived,2002,0.0712659631222931,0.00541735812285732,0.00962437232868577,0.00874076727307783,0.000854335092665941,0.00193711008601972,72207
2,men,1 most deprived,2003,0.0685272427836019,0.00476717387825198,0.00944838166587301,0.00554983418176975,0.00102928306174912,0.0018136622106334,70352
2,men,1 most deprived,2004,0.0658968799716516,0.00419468150034132,0.00927541092062048,0.00352255626327274,0.00124018461297373,0.0016981334221184,72315
2,men,1 most deprived,2005,0.0633783479327067,0.00369057143551741,0.00910547224976145,0.00223517079939645,0.00149446817726423,0.00158998923121976,74829
2,men,1 most deprived,2006,0.0609741046096669,0.00324665953393778,0.00893857657094396,0.00141799549203489,0.00180110792093164,0.00148873450955782,76691
2,men,1 most deprived,2007,0.0586857245733457,0.00285574932373265,0.00877473286268462,0.000899489099581729,0.00217094828067875,0.00139391008189252,79564
2,men,1 most deprived,2008,0.0565140231557096,0.00251151153815751,0.00861394777734777,0.000570595376781918,0.00261709741083279,0.0013050899106403,83193
2,men,1 most deprived,2009,0.0544580707929054,0.002208391750344,0.00845621494574573,0.000362017260986174,0.00315538911116654,0.00122188391541806,85212
2,men,1 most deprived,2010,0.0525123030544292,0.00194154456358683,0.00830148524009233,0.000229742112703165,0.00380489073005784,0.00114394899529685,88350
2,men,1 most deprived,2011,0.0506704106979381,0.00170669561877423,0.00814970167891379,0.000145847632732132,0.00458858983397047,0.00107096731548171,87746
2,men,1 most deprived,2012,0.048926495009104,0.0015000630784908,0.00800081003240517,9.26279297825523e-05,0.0055342100515584,0.00100263884470729,88872
2,men,1 most deprived,2013,0.0472750390333508,0.00131830270117891,0.0078547581523327,5.88576356349796e-05,0.00667517943536484,0.000938679991813341,90546
2,men,1 most deprived,2014,0.0457108808301091,0.00115845884623973,0.00771149509664932,3.74208410506108e-05,0.0080517942341694,0.000878822514796147,93934
2,men,1 most deprived,2015,0.0442291884834095,0.00101792078792935,0.00757097003944722,2.38068542781276e-05,0.00971261669307561,0.000822812656825606,92108
3,men,1 most deprived,2001,0.080851468075294,0.00692169413889491,0.0111680265992963,0.0137532878621918,0.000899148845970653,0.00229565531399353,74622
3,men,1 most deprived,2002,0.0780090541196648,0.00611005294728768,0.010989706592464,0.00884199396610233,0.00107748799953901,0.00215579894020338,72620
3,men,1 most deprived,2003,0.0752625333803953,0.00539292733847753,0.0108138151401414,0.00568220040845251,0.00129131264452994,0.0020245449174216,71387
3,men,1 most deprived,2004,0.0726195819449037,0.00475927674156494,0.0106404124306728,0.00365027086635275,0.00154772285049908,0.00190132575132882,69792
3,men,1 most deprived,2005,0.0700864477781313,0.00419936609791023,0.0104695572850785,0.00234425350956369,0.0018552504541719,0.00178561637837874,71505
3,men,1 most deprived,2006,0.0676681126616081,0.00370460836943657,0.0103013059577472,0.00150519534994033,0.00222415072767272,0.00167693003020397,74068
3,men,1 most deprived,2007,0.0653684496796053,0.00326742682708375,0.0101357113571309,0.000966355433243144,0.00266675421892483,0.00157481487211871,75737
3,men,1 most deprived,2008,0.0631903753281712,0.00288113438080282,0.00997282261925166,0.000620429414029624,0.00319789139297151,0.0014788512660057,78485
3,men,1 most deprived,2009,0.0611344606014237,0.00253984814113074,0.00981267139678881,0.000398398683587369,0.00383538479062361,0.00138865652483419,82244
3,men,1 most deprived,2010,0.0591948463204797,0.00223843827692951,0.00965523336515458,0.000255891270016423,0.00460057361547098,0.00130390079015416,84335
3,men,1 most deprived,2011,0.0573645728839373,0.00197235816027996,0.00950047263083657,0.000164415390199716,0.00551904391377716,0.00122427867072825,86867
3,men,1 most deprived,2012,0.0556371781925119,0.00173756072364617,0.00934835540313364,0.000105685515486189,0.00662148753246735,0.00114949997885118,87024
3,men,1 most deprived,2013,0.0540066590706934,0.00153044659824386,0.00919884926920565,6.79687343994935e-05,0.00794471180066173,0.00107928859053121,88398
3,men,1 most deprived,2014,0.0524674357764646,0.00134781727444774,0.00905192221687871,4.3737648324908e-05,0.0095328457977816,0.00101338157859205,90352
3,men,1 most deprived,2015,0.0510143191908913,0.00118683283899296,0.00890754139017722,2.81632187728437e-05,0.0114387805474384,0.000951528573601249,93733
4,men,1 most deprived,2001,0.0882072826968234,0.00778405101826702,0.0127231176486605,0.0137468033236453,0.00114006035944304,0.0025471333570055,76143
4,men,1 most deprived,2002,0.0853840674790598,0.006892802848568,0.0125492088383008,0.00894496060393687,0.00135903107593098,0.00239927295686783,73334
4,men,1 most deprived,2003,0.0826486831460361,0.00610244602145011,0.0123770346090824,0.00581797810809114,0.00162018390937649,0.00226007172194329,71734
4,men,1 most deprived,2004,0.0800124546294555,0.00540153284790302,0.0122067134462639,0.00378271544465219,0.00193169414437162,0.00212897474532059,70910
4,men,1 most deprived,2005,0.0774849918143832,0.00477993493617032,0.0120383613748181,0.00245868769512989,0.00230333593725743,0.00200546859989844,69454
4,men,1 most deprived,2006,0.0750743759496988,0.00422868703904924,0.0118720905957364,0.00159775609149721,0.00274679880418255,0.00188907718342757,70492
