year,sex,qimd,agegroup,deaths,agegrp,C18,C19,C20,C33,C34,C50,E11,F00_03,I20_25,I48,I60_69,J40_47,N390,pops
2001,men,3,75-79,8679,75-79,175,17,67,0,660,4,22,123,2208,29,807,573,38,144939
2001,men,3,80-84,8618,80-84,152,8,67,2,460,5,16,187,2118,43,950,545,59,89652
2001,men,3,85-89,6916,85-89,121,1,38,0,226,0,22,232,1502,36,872,418,61,43033
2001,men,3,90+,4289,90+,36,4,14,0,113,1,15,130,740,36,506,188,44,16355
2001,men,4,<1,239,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,50584
2001,men,4,01-04,32,01-04,0,0,0,0,0,0,0,0,1,0,0,0,0,218750
2001,men,4,05-09,36,05-09,0,0,0,0,0,0,0,0,0,0,2,0,0,294876
2001,men,4,10-14,34,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,313242
2001,men,4,15-19,130,15-19,0,0,0,0,0,0,0,0,0,0,1,0,0,300392
2001,men,4,20-24,182,20-24,0,0,0,0,0,0,0,0,1,0,2,0,0,273512
2001,men,4,25-29,210,25-29,0,0,0,0,0,0,0,0,3,0,3,1,0,297818
2001,men,4,30-34,288,30-34,2,0,1,0,4,0,0,0,6,0,3,0,1,360493
2001,men,4,35-39,339,35-39,4,1,2,0,1,0,0,0,26,0,12,2,0,390091
2001,men,4,40-44,465,40-44,5,0,4,0,7,0,0,0,81,0,20,2,0,361235
2001,men,4,45-49,734,45-49,19,3,7,0,39,0,0,0,169,0,24,5,1,332324
2001,men,4,50-54,1290,50-54,32,5,18,0,102,1,0,1,301,1,63,9,0,373942
2001,men,4,55-59,1923,55-59,51,5,24,0,170,0,1,1,474,1,95,41,1,320648
2001,men,4,60-64,2617,60-64,84,9,42,0,268,1,2,4,673,1,132,78,4,259079
2001,men,4,65-69,3862,65-69,109,17,60,0,366,3,4,13,1001,5,230,179,7,226808
2001,men,4,70-74,5944,70-74,185,16,52,1,539,1,14,33,1523,15,473,302,13,192687
2001,men,4,75-79,8007,75-79,168,22,66,0,586,4,8,107,2061,29,801,444,35,147632
2001,men,4,80-84,7890,80-84,137,10,54,0,408,0,16,174,1887,37,958,432,44,88995
2001,men,4,85-89,6741,85-89,94,5,46,0,211,3,15,208,1489,32,899,373,63,43663
2001,men,4,90+,4227,90+,43,3,14,0,70,1,10,165,735,28,545,176,58,16433
2001,men,5 least deprived,<1,202,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,52157
2001,men,5 least deprived,01-04,46,01-04,0,0,0,0,0,0,0,0,1,0,1,0,0,229988
2001,men,5 least deprived,05-09,27,05-09,0,0,0,0,0,0,0,0,0,0,1,0,0,314805
2001,men,5 least deprived,10-14,49,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,333050
2001,men,5 least deprived,15-19,136,15-19,0,0,0,0,0,0,0,0,0,0,1,0,0,314522
2001,men,5 least deprived,20-24,132,20-24,0,0,0,0,0,0,0,0,0,0,1,0,0,246567
2001,men,5 least deprived,25-29,143,25-29,0,0,0,0,0,0,0,0,2,0,4,1,0,259406
2001,men,5 least deprived,30-34,191,30-34,1,0,0,0,0,0,0,0,9,0,1,0,0,336827
2001,men,5 least deprived,35-39,278,35-39,5,0,2,0,5,0,0,0,26,1,7,2,0,395712
2001,men,5 least deprived,40-44,370,40-44,5,2,8,0,10,0,1,0,39,0,20,3,0,380034
2001,men,5 least deprived,45-49,548,45-49,10,0,10,0,27,2,0,0,104,0,24,4,0,349629
2001,men,5 least deprived,50-54,1103,50-54,40,10,18,1,76,0,1,1,238,0,48,15,2,386277
2001,men,5 least deprived,55-59,1616,55-59,53,5,25,0,155,0,0,3,362,1,89,28,4,324169
2001,men,5 least deprived,60-64,2131,60-64,73,7,44,1,193,2,3,3,526,0,98,47,1,250997
2001,men,5 least deprived,65-69,3174,65-69,108,13,44,0,305,1,3,20,781,5,205,79,3,219923
2001,men,5 least deprived,70-74,4953,70-74,135,15,48,0,447,4,10,34,1262,3,373,239,20,184019
2001,men,5 least deprived,75-79,6824,75-79,166,13,61,0,451,6,17,97,1681,15,671,329,36,137422
2001,men,5 least deprived,80-84,6807,80-84,97,5,42,0,365,3,11,139,1628,43,836,341,40,81360
2001,men,5 least deprived,85-89,5908,85-89,90,2,33,0,181,2,13,199,1200,37,807,301,54,38873
2001,men,5 least deprived,90+,3761,90+,30,2,20,0,69,0,7,159,649,29,500,122,35,14956
2001,women,1 most deprived,<1,535,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,68951
2001,women,1 most deprived,01-04,101,01-04,0,0,0,0,0,0,0,0,0,0,0,2,0,284309
2001,women,1 most deprived,05-09,52,05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,359828
2001,women,1 most deprived,10-14,44,10-14,0,0,0,0,0,0,0,0,0,0,1,0,0,362215
2001,women,1 most deprived,15-19,100,15-19,0,0,0,0,0,0,0,0,1,0,0,0,0,343637
2001,women,1 most deprived,20-24,122,20-24,0,0,0,0,0,0,0,0,0,0,3,1,1,372434
2001,women,1 most deprived,25-29,204,25-29,0,0,0,0,0,5,0,0,2,0,8,1,0,385990
2001,women,1 most deprived,30-34,319,30-34,1,0,2,0,3,13,0,0,7,0,8,1,0,414024
2001,women,1 most deprived,35-39,440,35-39,5,0,1,0,16,49,0,0,15,0,25,0,0,382834
2001,women,1 most deprived,40-44,549,40-44,10,0,4,0,18,65,0,0,28,0,27,4,1,323001
2001,women,1 most deprived,45-49,875,45-49,10,1,2,0,70,90,0,0,79,0,66,22,2,270829
2001,women,1 most deprived,50-54,1311,50-54,22,3,6,0,123,152,1,0,147,2,76,47,0,267376
2001,women,1 most deprived,55-59,1664,55-59,29,2,8,1,197,165,2,0,220,1,82,83,3,224336
2001,women,1 most deprived,60-64,2469,60-64,51,6,8,1,277,137,3,4,434,3,144,168,8,215010
2001,women,1 most deprived,65-69,3871,65-69,82,6,30,1,422,179,11,12,732,10,308,351,16,203216
2001,women,1 most deprived,70-74,6010,70-74,112,5,35,0,622,210,22,32,1260,21,527,535,32,199252
2001,women,1 most deprived,75-79,8621,75-79,148,13,53,0,620,253,23,133,1796,42,1009,706,61,183232
2001,women,1 most deprived,80-84,9638,80-84,140,7,48,1,399,252,35,275,2067,84,1320,583,79,134413
2001,women,1 most deprived,85-89,9696,85-89,128,5,45,0,181,203,24,448,1916,99,1502,373,98,79232
2001,women,1 most deprived,90+,9012,90+,85,5,38,0,43,146,20,501,1379,116,1282,209,115,42891
2001,women,2,<1,324,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,55681
2001,women,2,01-04,46,01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,233383
2001,women,2,05-09,42,05-09,0,0,0,0,0,0,0,0,0,0,1,2,0,303037
2001,women,2,10-14,28,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,310743
2001,women,2,15-19,84,15-19,0,0,0,0,0,1,0,0,0,0,0,0,0,296623
2001,women,2,20-24,101,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,349009
2001,women,2,25-29,133,25-29,1,0,0,0,2,4,0,0,1,0,6,0,0,388342
2001,women,2,30-34,220,30-34,0,1,1,0,0,15,0,0,2,0,6,0,1,415368
2001,women,2,35-39,352,35-39,3,1,1,0,3,48,0,0,15,0,14,0,0,392788
2001,women,2,40-44,507,40-44,6,2,2,0,16,76,0,0,28,0,32,1,0,333596
2001,women,2,45-49,666,45-49,15,3,2,0,55,98,0,1,41,0,36,8,3,291199
2001,women,2,50-54,1146,50-54,23,1,17,0,99,143,1,2,91,0,70,38,1,301571
2001,women,2,55-59,1392,55-59,32,4,11,0,145,177,2,0,147,1,73,49,2,254346
2001,women,2,60-64,2051,60-64,48,5,17,0,203,173,4,3,332,4,129,111,7,226298
2001,women,2,65-69,3001,65-69,63,9,13,0,289,202,11,9,547,4,245,181,13,212470
2001,women,2,70-74,5215,70-74,98,6,43,1,437,235,17,44,1075,14,466,412,23,209676
2001,women,2,75-79,8259,75-79,145,14,50,0,489,298,27,164,1704,37,1024,557,53,194412
2001,women,2,80-84,9954,80-84,135,12,65,0,366,251,22,355,1979,86,1437,510,118,144826
2001,women,2,85-89,10580,85-89,133,4,49,1,186,258,23,555,2000,86,1746,313,111,89525
2001,women,2,90+,10806,90+,88,3,36,0,68,184,25,620,1667,108,1640,198,151,49710
2001,women,3,<1,192,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,50236
2001,women,3,01-04,42,01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,211038
2001,women,3,05-09,27,05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,281002
2001,women,3,10-14,28,10-14,0,0,0,0,0,0,0,0,0,0,2,0,0,294593
2001,women,3,15-19,62,15-19,0,0,0,0,0,1,0,0,0,0,0,0,0,279028
2001,women,3,20-24,70,20-24,0,0,1,0,0,0,0,0,0,0,3,0,1,294928
2001,women,3,25-29,93,25-29,1,0,0,0,0,3,0,0,0,0,5,0,0,337366
2001,women,3,30-34,178,30-34,1,0,1,0,3,19,0,0,1,0,7,0,0,384530
2001,women,3,35-39,262,35-39,4,1,0,0,3,39,0,0,6,0,11,3,1,387371
2001,women,3,40-44,392,40-44,8,0,4,0,16,60,0,0,16,0,25,3,0,345438
2001,women,3,45-49,575,45-49,13,1,1,0,40,94,0,0,38,0,31,7,0,317905
2001,women,3,50-54,1026,50-54,25,4,12,0,76,166,1,1,64,2,47,22,3,348129
2001,women,3,55-59,1384,55-59,51,11,9,1,132,192,0,3,122,0,68,38,2,297349
2001,women,3,60-64,1833,60-64,50,2,20,1,183,185,4,6,237,0,97,96,4,252615
2001,women,3,65-69,2765,65-69,75,3,17,0,223,244,9,10,438,6,207,127,8,234271
2001,women,3,70-74,4798,70-74,115,11,46,1,381,242,9,41,888,15,469,303,21,222591
2001,women,3,75-79,7581,75-79,164,10,35,1,383,291,8,163,1536,31,945,416,39,203686
2001,women,3,80-84,9864,80-84,192,10,63,0,320,282,19,345,1934,75,1540,365,90,152528
2001,women,3,85-89,11619,85-89,165,8,46,1,200,266,18,613,2192,120,2004,325,124,98994
2001,women,3,90+,12698,90+,113,5,42,0,60,231,20,761,1914,135,2001,198,158,55435
2001,women,4,<1,156,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,48383
2001,women,4,01-04,32,01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,207722
2001,women,4,05-09,34,05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,280013
2001,women,4,10-14,34,10-14,0,0,0,0,0,0,0,0,0,0,1,0,0,298640
2001,women,4,15-19,53,15-19,1,0,0,0,0,0,0,0,0,0,0,0,0,279761
2001,women,4,20-24,80,20-24,2,0,0,0,0,0,0,0,1,0,0,1,0,255766
2001,women,4,25-29,90,25-29,2,0,0,0,0,2,0,0,2,0,2,1,0,292819
2001,women,4,30-34,128,30-34,2,1,1,0,3,18,0,0,1,0,3,0,0,365608
2001,women,4,35-39,234,35-39,1,0,0,0,4,51,0,0,3,0,13,0,0,398044
2001,women,4,40-44,342,40-44,5,1,1,0,9,70,1,0,18,0,20,2,0,364356
2001,women,4,45-49,493,45-49,13,0,3,0,25,92,0,0,23,0,30,7,0,340165
2001,women,4,50-54,1042,50-54,26,5,9,0,92,213,1,0,51,1,40,15,1,383309
2001,women,4,55-59,1312,55-59,50,3,18,0,103,201,0,2,93,0,85,35,4,326705
2001,women,4,60-64,1709,60-64,55,5,19,0,124,190,3,5,191,1,106,72,5,266996
2001,women,4,65-69,2411,65-69,76,7,24,0,180,192,5,10,348,3,186,118,8,240400
2001,women,4,70-74,4243,70-74,132,5,38,0,315,249,5,45,677,9,418,230,16,222921
2001,women,4,75-79,6964,75-79,131,12,49,0,346,289,8,151,1364,41,893,339,45,197014
2001,women,4,80-84,9157,80-84,164,12,48,1,290,260,27,333,1750,69,1504,373,81,145144
2001,women,4,85-89,11078,85-89,140,7,56,1,160,218,22,547,2063,96,1975,301,98,94825
2001,women,4,90+,12246,90+,89,6,52,0,59,207,27,717,1781,124,2015,190,123,53398
2001,women,5 least deprived,<1,150,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,49529
2001,women,5 least deprived,01-04,35,01-04,0,0,0,0,0,0,0,0,0,0,1,0,0,217886
2001,women,5 least deprived,05-09,28,05-09,0,0,0,0,0,0,0,0,1,0,0,0,0,297913
2001,women,5 least deprived,10-14,24,10-14,0,0,0,0,0,0,0,0,0,0,0,0,1,313540
2001,women,5 least deprived,15-19,61,15-19,0,0,0,0,0,0,0,0,1,0,2,0,0,287485
2001,women,5 least deprived,20-24,54,20-24,1,0,0,0,0,1,0,0,0,0,1,0,0,220119
2001,women,5 least deprived,25-29,70,25-29,0,0,0,0,0,3,0,0,0,0,2,0,1,255616
2001,women,5 least deprived,30-34,110,30-34,0,1,0,0,0,21,0,0,2,0,7,0,0,351299
2001,women,5 least deprived,35-39,246,35-39,0,0,1,0,1,55,1,0,7,0,10,0,0,412391
2001,women,5 least deprived,40-44,279,40-44,4,1,4,0,9,66,0,0,14,0,12,0,0,386560
2001,women,5 least deprived,45-49,458,45-49,11,1,4,0,21,110,0,0,16,0,26,0,2,356135
2001,women,5 least deprived,50-54,824,50-54,27,1,6,0,64,177,0,0,31,0,37,10,2,396280
2001,women,5 least deprived,55-59,1096,55-59,36,1,8,0,83,210,1,2,75,1,61,15,0,326744
2001,women,5 least deprived,60-64,1483,60-64,73,5,14,0,111,217,1,7,146,0,67,46,4,258231
2001,women,5 least deprived,65-69,2115,65-69,73,9,21,0,142,211,4,10,266,5,146,67,6,231379
2001,women,5 least deprived,70-74,3398,70-74,107,11,32,0,255,238,7,35,575,6,336,144,13,208946
2001,women,5 least deprived,75-79,5634,75-79,148,9,42,0,275,260,10,120,1003,38,742,258,26,178242
2001,women,5 least deprived,80-84,7388,80-84,129,7,51,0,216,242,16,279,1387,67,1192,241,50,127429
2001,women,5 least deprived,85-89,9286,85-89,153,6,40,0,125,213,25,449,1690,96,1626,245,101,81483
2001,women,5 least deprived,90+,10255,90+,94,8,38,0,60,184,16,564,1466,100,1708,140,138,46317
2002,men,1 most deprived,<1,671,<1,0,0,0,0,0,0,0,0,0,0,1,0,0,73775
2002,men,1 most deprived,01-04,101,01-04,0,0,0,0,0,0,0,0,0,0,0,1,0,289147
2002,men,1 most deprived,05-09,54,05-09,0,0,0,0,0,0,0,0,1,0,0,0,0,371999
2002,men,1 most deprived,10-14,70,10-14,0,0,0,0,0,0,0,0,0,0,2,0,0,375603
2002,men,1 most deprived,15-19,230,15-19,0,0,0,0,0,0,0,0,0,0,3,1,1,357810
2002,men,1 most deprived,20-24,376,20-24,1,0,0,0,0,0,0,0,0,0,1,0,0,347984
2002,men,1 most deprived,25-29,468,25-29,1,0,0,0,0,0,0,0,6,0,6,0,0,364920
2002,men,1 most deprived,30-34,699,30-34,2,0,2,0,1,0,0,0,33,0,17,1,2,403885
2002,men,1 most deprived,35-39,895,35-39,9,0,3,0,13,0,0,0,79,0,23,2,0,382133
2002,men,1 most deprived,40-44,1087,40-44,12,0,2,0,27,0,0,0,194,1,34,4,0,326376
2002,men,1 most deprived,45-49,1562,45-49,11,3,7,0,95,0,2,1,331,0,69,22,0,274065
2002,men,1 most deprived,50-54,2153,50-54,17,7,16,1,211,0,0,1,511,0,102,54,1,263704
2002,men,1 most deprived,55-59,3030,55-59,43,7,31,0,322,2,4,5,776,2,139,144,3,233649
2002,men,1 most deprived,60-64,4061,60-64,82,16,49,0,526,2,8,10,1071,3,239,208,11,202989
2002,men,1 most deprived,65-69,5635,65-69,97,9,72,3,719,0,14,13,1493,9,394,385,16,183409
2002,men,1 most deprived,70-74,7634,70-74,157,17,68,2,829,2,15,58,1980,16,593,637,26,155455
2002,men,1 most deprived,75-79,9373,75-79,166,15,102,1,872,2,21,119,2193,31,860,881,47,121360
2002,men,1 most deprived,80-84,8380,80-84,127,14,63,0,544,1,18,179,2003,42,904,705,65,77315
2002,men,1 most deprived,85-89,5318,85-89,73,9,51,0,229,1,20,162,1039,38,637,417,60,30618
2002,men,1 most deprived,90+,2854,90+,26,1,17,0,69,0,8,114,524,21,352,137,36,11817
2002,men,2,<1,392,<1,0,0,0,0,0,0,0,0,0,0,2,0,0,59228
2002,men,2,01-04,45,01-04,0,0,0,0,0,0,0,0,0,0,1,0,0,236901
2002,men,2,05-09,40,05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,313929
2002,men,2,10-14,61,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,326545
2002,men,2,15-19,170,15-19,0,0,0,0,0,0,0,0,0,0,2,0,0,314244
2002,men,2,20-24,267,20-24,0,0,0,0,0,0,1,0,0,0,2,1,0,344022
2002,men,2,25-29,372,25-29,0,0,1,0,0,0,0,0,8,0,3,0,0,378154
2002,men,2,30-34,429,30-34,1,0,1,0,1,0,0,0,19,0,6,0,0,417910
2002,men,2,35-39,589,35-39,4,0,1,0,5,0,0,0,55,1,11,2,0,401715
2002,men,2,40-44,812,40-44,3,0,4,0,28,0,0,0,121,0,48,4,1,344338
2002,men,2,45-49,1064,45-49,13,2,13,1,48,0,0,0,204,1,50,12,1,291844
2002,men,2,50-54,1628,50-54,29,4,13,0,116,0,2,0,414,1,83,29,2,287973
2002,men,2,55-59,2367,55-59,52,6,36,0,262,1,2,6,598,1,111,62,6,265444
2002,men,2,60-64,3250,60-64,74,11,33,0,397,0,10,4,833,3,163,159,2,214138
2002,men,2,65-69,4569,65-69,102,17,51,0,522,1,7,15,1201,11,285,229,12,191361
2002,men,2,70-74,6675,70-74,131,22,56,2,725,5,8,45,1685,22,472,457,23,166174
2002,men,2,75-79,8681,75-79,147,14,68,2,711,2,20,113,2140,32,801,658,44,131375
2002,men,2,80-84,8651,80-84,159,13,61,0,521,2,24,172,2053,42,918,624,66,85567
2002,men,2,85-89,6244,85-89,92,5,31,1,233,3,23,185,1381,34,780,424,56,36975
2002,men,2,90+,3778,90+,33,4,16,0,73,2,7,139,691,29,492,187,41,14147
2002,men,3,<1,271,<1,0,0,0,0,0,0,0,0,0,0,1,0,1,52685
2002,men,3,01-04,61,01-04,0,0,0,0,0,0,0,0,0,0,1,0,0,216940
2002,men,3,05-09,38,05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,292857
2002,men,3,10-14,53,10-14,0,0,0,0,0,0,0,0,0,0,1,0,0,311610
2002,men,3,15-19,179,15-19,0,0,0,0,0,0,0,0,0,0,2,0,0,300062
2002,men,3,20-24,211,20-24,2,0,0,0,0,0,0,0,0,0,3,1,0,307753
2002,men,3,25-29,270,25-29,1,1,0,0,0,0,0,0,5,0,5,1,0,331319
2002,men,3,30-34,391,30-34,2,0,0,0,1,0,0,0,17,0,9,1,1,382694
2002,men,3,35-39,429,35-39,5,0,1,0,2,0,0,0,34,0,17,0,1,395099
2002,men,3,40-44,577,40-44,5,0,4,0,18,0,0,0,97,0,31,0,2,355606
2002,men,3,45-49,846,45-49,15,3,9,0,40,0,1,0,192,0,38,4,0,314171
2002,men,3,50-54,1388,50-54,27,1,18,0,112,0,2,0,344,0,55,20,2,324671
2002,men,3,55-59,2155,55-59,68,12,39,0,249,0,2,4,531,0,101,53,4,314771
2002,men,3,60-64,2897,60-64,81,7,37,0,343,1,1,5,694,5,165,110,6,244167
2002,men,3,65-69,4129,65-69,109,24,55,0,436,1,7,18,1020,5,245,196,6,218165
2002,men,3,70-74,6134,70-74,137,18,53,0,568,5,11,41,1530,17,469,389,17,188074
2002,men,3,75-79,8468,75-79,177,19,91,1,668,4,14,104,2061,21,849,587,39,144570
2002,men,3,80-84,8980,80-84,159,13,58,0,468,3,22,180,2082,49,1024,595,61,95156
2002,men,3,85-89,6788,85-89,94,8,33,0,225,2,14,215,1378,38,906,373,69,42772
2002,men,3,90+,4504,90+,38,3,28,0,74,0,12,159,793,31,555,209,49,17126
2002,men,4,<1,222,<1,0,0,0,0,0,0,0,0,1,0,0,0,0,49456
2002,men,4,01-04,46,01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,215550
2002,men,4,05-09,28,05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,293465
2002,men,4,10-14,43,10-14,0,0,0,0,0,0,0,0,0,0,3,1,0,315372
2002,men,4,15-19,147,15-19,0,0,0,0,0,0,0,0,0,0,2,0,0,303801
2002,men,4,20-24,191,20-24,0,0,0,0,0,0,0,0,0,0,1,0,0,276765
2002,men,4,25-29,201,25-29,0,0,0,0,0,0,0,0,3,0,1,0,0,286242
2002,men,4,30-34,257,30-34,3,0,0,0,0,0,0,0,11,0,5,0,0,355114
2002,men,4,35-39,383,35-39,4,0,2,0,6,0,0,0,35,0,12,1,1,393369
2002,men,4,40-44,449,40-44,8,0,2,0,14,0,0,0,65,0,13,2,1,371036
2002,men,4,45-49,710,45-49,20,0,12,0,29,1,0,0,142,0,51,2,0,334474
2002,men,4,50-54,1190,50-54,30,9,15,0,90,1,1,2,273,1,55,13,0,353840
2002,men,4,55-59,1883,55-59,54,10,23,0,204,0,1,3,457,3,90,30,5,347931
2002,men,4,60-64,2542,60-64,84,11,46,0,255,2,1,7,605,2,133,84,3,261994
2002,men,4,65-69,3906,65-69,120,17,66,0,391,3,6,13,989,4,233,175,6,230359
2002,men,4,70-74,5827,70-74,161,12,53,1,507,3,14,32,1414,15,483,279,25,195683
2002,men,4,75-79,7809,75-79,200,14,73,0,548,3,17,120,1892,26,764,452,50,148421
2002,men,4,80-84,8520,80-84,144,11,76,2,424,0,18,165,1983,54,1052,521,55,94378
2002,men,4,85-89,6762,85-89,108,8,35,0,249,3,17,193,1494,30,891,376,75,42858
2002,men,4,90+,4600,90+,34,6,23,0,71,2,18,184,776,34,572,183,57,17752
2002,men,5 least deprived,<1,181,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,50931
2002,men,5 least deprived,01-04,50,01-04,0,0,0,0,0,0,0,0,0,0,2,0,0,228587
2002,men,5 least deprived,05-09,28,05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,314852
2002,men,5 least deprived,10-14,41,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,337346
